Date;Open;Max;Min;Close
24.09.2018;114680;114700;114670;114670
24.09.2018;114680;114700;114660;114680
24.09.2018;114680;114690;114640;114650
24.09.2018;114650;114670;114630;114650
24.09.2018;114650;114690;114650;114680
24.09.2018;114680;114700;114670;114680
24.09.2018;114690;114700;114680;114680
24.09.2018;114690;114700;114680;114690
24.09.2018;114690;114700;114670;114690
24.09.2018;114690;114700;114670;114690
24.09.2018;114680;114690;114640;114640
24.09.2018;114650;114700;114640;114690
24.09.2018;114700;114700;114650;114670
24.09.2018;114660;114660;114630;114630
24.09.2018;114640;114680;114630;114680
24.09.2018;114680;114690;114660;114660
24.09.2018;114660;114700;114660;114680
24.09.2018;114680;114690;114670;114670
24.09.2018;114690;114700;114630;114630
24.09.2018;114640;114660;114620;114650
24.09.2018;114650;114690;114640;114690
24.09.2018;114690;114700;114670;114680
24.09.2018;114680;114700;114660;114690
24.09.2018;114680;114700;114650;114670
24.09.2018;114670;114690;114660;114660
24.09.2018;114660;114670;114650;114660
24.09.2018;114660;114690;114660;114680
24.09.2018;114680;114690;114670;114680
24.09.2018;114680;114690;114670;114680
24.09.2018;114680;114680;114640;114660
24.09.2018;114650;114660;114630;114640
24.09.2018;114640;114650;114600;114600
24.09.2018;114600;114660;114600;114630
24.09.2018;114650;114680;114620;114630
24.09.2018;114630;114640;114600;114610
24.09.2018;114610;114620;114580;114590
24.09.2018;114590;114630;114590;114600
24.09.2018;114600;114600;114580;114590
24.09.2018;114590;114640;114590;114630
24.09.2018;114630;114640;114600;114640
24.09.2018;114640;114650;114640;114650
24.09.2018;114650;114660;114620;114640
24.09.2018;114640;114660;114630;114640
24.09.2018;114640;114670;114640;114670
24.09.2018;114670;114670;114650;114650
24.09.2018;114640;114650;114620;114630
24.09.2018;114620;114640;114520;114520
24.09.2018;114520;114550;114510;114520
24.09.2018;114530;114530;114450;114480
24.09.2018;114480;114480;114430;114450
24.09.2018;114440;114470;114420;114450
24.09.2018;114450;114510;114440;114490
24.09.2018;114490;114570;114480;114550
24.09.2018;114540;114540;114510;114520
24.09.2018;114530;114530;114460;114480
24.09.2018;114480;114500;114400;114410
24.09.2018;114400;114420;114360;114360
24.09.2018;114370;114380;114320;114360
24.09.2018;114350;114350;114270;114290
24.09.2018;114300;114320;114210;114240
24.09.2018;114220;114270;114160;114170
24.09.2018;114170;114180;114120;114160
24.09.2018;114170;114210;114150;114200
24.09.2018;114210;114220;114190;114210
24.09.2018;114200;114210;114180;114200
24.09.2018;114190;114230;114180;114200
24.09.2018;114210;114220;114180;114210
24.09.2018;114200;114210;114160;114180
24.09.2018;114180;114210;114160;114210
24.09.2018;114200;114240;114190;114240
24.09.2018;114230;114240;114190;114200
24.09.2018;114190;114210;114140;114170
24.09.2018;114170;114170;114130;114150
24.09.2018;114140;114160;114130;114140
24.09.2018;114130;114190;114120;114130
24.09.2018;114130;114200;114110;114180
24.09.2018;114180;114200;114170;114180
24.09.2018;114180;114240;114180;114240
24.09.2018;114240;114320;114230;114310
24.09.2018;114310;114320;114250;114270
24.09.2018;114280;114310;114250;114270
24.09.2018;114270;114300;114260;114280
24.09.2018;114270;114280;114230;114230
24.09.2018;114240;114260;114200;114230
24.09.2018;114220;114290;114210;114290
24.09.2018;114280;114370;114280;114350
24.09.2018;114350;114380;114320;114360
24.09.2018;114360;114430;114360;114390
24.09.2018;114380;114430;114370;114400
24.09.2018;114400;114410;114350;114400
24.09.2018;114400;114430;114390;114400
24.09.2018;114390;114480;114370;114450
24.09.2018;114430;114470;114410;114410
24.09.2018;114420;114470;114410;114430
24.09.2018;114440;114440;114400;114420
24.09.2018;114440;114520;114420;114510
24.09.2018;114500;114570;114480;114560
24.09.2018;114560;114570;114500;114510
24.09.2018;114520;114540;114450;114460
24.09.2018;114460;114500;114420;114450
24.09.2018;114450;114480;114440;114440
24.09.2018;114450;114510;114450;114490
24.09.2018;114500;114510;114470;114470
24.09.2018;114480;114500;114450;114450
24.09.2018;114450;114500;114410;114450
24.09.2018;114450;114480;114360;114380
24.09.2018;114370;114390;114320;114330
24.09.2018;114330;114360;114270;114290
24.09.2018;114290;114350;114280;114350
24.09.2018;114340;114360;114320;114350
24.09.2018;114350;114370;114300;114360
24.09.2018;114350;114360;114300;114320
24.09.2018;114320;114330;114310;114320
24.09.2018;114320;114430;114320;114410
24.09.2018;114390;114420;114360;114360
24.09.2018;114370;114460;114370;114420
24.09.2018;114410;114450;114390;114390
24.09.2018;114390;114390;114360;114380
24.09.2018;114370;114390;114370;114370
24.09.2018;114380;114400;114350;114350
24.09.2018;114350;114360;114280;114300
24.09.2018;114290;114300;114260;114280
24.09.2018;114280;114310;114260;114300
24.09.2018;114310;114310;114250;114260
24.09.2018;114260;114300;114250;114290
24.09.2018;114300;114310;114270;114310
24.09.2018;114310;114380;114310;114380
24.09.2018;114380;114410;114350;114390
24.09.2018;114390;114490;114360;114400
24.09.2018;114400;114460;114400;114440
24.09.2018;114450;114510;114450;114490
24.09.2018;114490;114540;114460;114460
24.09.2018;114480;114510;114480;114490
24.09.2018;114490;114650;114490;114610
24.09.2018;114610;114630;114560;114590
24.09.2018;114590;114600;114560;114560
24.09.2018;114570;114640;114550;114600
24.09.2018;114610;114670;114610;114640
24.09.2018;114630;114650;114590;114630
24.09.2018;114640;114640;114540;114550
24.09.2018;114550;114590;114490;114590
24.09.2018;114560;114630;114560;114610
24.09.2018;114600;114640;114600;114600
24.09.2018;114600;114610;114550;114560
24.09.2018;114560;114610;114560;114580
24.09.2018;114570;114620;114560;114590
24.09.2018;114590;114600;114580;114600
24.09.2018;114610;114620;114560;114560
24.09.2018;114560;114650;114560;114620
